#,Координатор,Статус,Пріоритет,Тема,Призначена до,Оновлено
25698,Ошибка,Новая,Нормальный,"[L10N] Отсутствует локализация раздела ""Доставка и оплата"" в русской версии сайта",Alona Olshanska,2025-09-18 22:42
25697,Ошибка,Новая,Нормальный,"[L10N] Отсутствует локализация раздела ""Сервисный центр ИБИС"" в русской версии сайта",Alona Olshanska,2025-09-18 22:40
25696,Ошибка,Новая,Нормальный,"[L10N] Отсутствует локализация информации раздела ""Направление компании Ибис"" в русской версии сайта на главной странице",Alona Olshanska,2025-09-18 22:36
25695,Ошибка,Новая,Нормальный,"[L10N] Отсутствует локализация у ""pop-up"" окна в русской версии сайта",Alona Olshanska,2025-09-18 22:32
25694,Ошибка,Новая,Низкий,[L10N] Отсутствует локализация у слайдеров в русской версии на главной странице,Alona Olshanska,2025-09-18 22:24
25693,Ошибка,Новая,Нормальный,"Отображение категорий для рыбалки во вкладке ""ТОП-категорії"" в разделе ""Каталог товарів"" на странице сайта, версия ""Зброя""",Alona Olshanska,2025-09-18 22:16
25692,Ошибка,Новая,Нормальный,Низкий показатель Performance при проверке через Lighting в ChromeDevTool на главной странице сайта,Alona Olshanska,2025-09-18 22:07
25690,Ошибка,Новая,Нормальный,Ошибка 401 в Console в ChromeDevTool на главной странице сайта,Alona Olshanska,2025-09-18 21:50
25689,Ошибка,Новая,Высокий,"Ошибка 404 при переходе по гиперссылке из раздела ""Угода користувача"" в раздел ""Дисконтна програма"".",Alona Olshanska,2025-09-18 21:42
25688,Ошибка,Новая,Высокий,"Ошибка 404 при переходе по гиперссылке из раздела ""Угода користувача"" в раздел ""Політика конфіцендійності""",Alona Olshanska,2025-09-18 21:39
