"ID","Title","Assigned To","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C1","Попытка отправки незаполненной формы """"Зв`язатися з нами"""".","Alona Olshanska","","Alona Olshanska","9/21/2025 10:17 AM","60s","60s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:01 PM"
"C2","Попытка отправки формы """"Зв`язатися з нами"""" с некорректно указанным e-mail'ом.","Alona Olshanska","","Alona Olshanska","9/21/2025 10:29 AM","60s","60s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:02 PM"
"C3","Попытка отправки формы """"Зв`язатися з нами"""" с некорректно указанным телефоном.","Alona Olshanska","","Alona Olshanska","9/21/2025 10:49 AM","120s","120s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:01 PM"
"C4","Попытка отправки формы """"Зв`язатися з нами"""" с исполняемым форматом файла.","Alona Olshanska","","Alona Olshanska","9/21/2025 10:54 AM","120s","120s","Medium","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:09 PM"
"C5","Попытка отправки формы """"Зв`язатися з нами"""" без чекбокса принятия условий политики конденфициальности.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:19 AM","120s","120s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:04 PM"
"C6","Отправка формы """"Зв`язатися з нами"""" с маленьким комментарием.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:27 AM","120s","120s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:08 PM"
"C7","Отправка формы """"Зв`язатися з нами"""" с максимально заполненным комментарием.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:27 AM","180s","180s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:08 PM"
"C8","Отправка формы """"Зв`язатися з нами"""" с прикрепленным допустимым форматом файла.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:30 AM","180s","180s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:08 PM"
"C9","Отправка формы """"Зв`язатися з нами"""" без заполненного поля для комментария.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:31 AM","120s","120s","Medium","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:10 PM"
"C10","Отправка формы """"Зв`язатися з нами"""" с не украинским номером телефона.","","","Alona Olshanska","9/21/2025 11:32 AM","","","Medium","","Test Cases","0","","Master","S1","Other","Alona Olshanska","9/21/2025 1:10 PM"
"C11","Отправка формы """"Зв`язатися з нами"""" с именем из одного символа.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:35 AM","120s","120s","Medium","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:10 PM"
"C12","Отправка формы """"Зв`язатися з нами"""" с тематикой """"Вакансії"""".","Alona Olshanska","","Alona Olshanska","9/21/2025 11:36 AM","300s","300s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:11 PM"
"C13","Отправка формы """"Зв`язатися з нами"""" с только обязательными полями для заполнения.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:39 AM","180s","180s","Medium","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:11 PM"
"C14","Отправка формы """"Зв`язатися з нами"""" с двойным именем через дефис.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:41 AM","180s","180s","Medium","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:11 PM"
"C15","Отправка формы """"Contact us"""" в английской версии сайта.","Alona Olshanska","","Alona Olshanska","9/21/2025 11:44 AM","300s","300s","High","","Test Cases","0","","Master","S1","Functional","Alona Olshanska","9/21/2025 1:11 PM"
